feature,pairs,median(A-B),mean(A-B),p_value
baseline_17climate_food,12,-0.03715,-0.06975833333333334,0.00048828125
tlags_17climate_food,12,-0.01235,-0.043941666666666664,0.02685546875
tlags_count_moder_drought_prev10,12,0.00235,-0.02231666666666667,0.7333984375
tlags_cropprop,12,-0.0048,-0.0272,0.5693359375
tlags_growseasdummy,12,-0.0048000000000000004,-0.01593333333333333,0.423828125
tlags_pred_growseasdummys,12,-0.004999999999999999,-0.0027916666666666663,0.4697265625
tlags_spei1_gs_prev10,12,-0.0071,-0.0272,0.134765625
tlags_spei1_gs_prev10_anom,12,-0.0091,-0.03371666666666667,0.0771484375
tlags_spei1_gsm_cv_anom,12,-0.00835,-0.018633333333333335,0.17626953125
tlags_spei1_gsm_detrend,12,-0.01015,-0.029666666666666664,0.10986328125
tlags_spei1gsy_lowermedian_count,12,-0.012799999999999999,-0.022499999999999996,0.6220703125
tlags_spei_48_detrend,12,-0.0132,-0.02310833333333333,0.02685546875
tlags_tlag1_dr_mod_gs,12,-0.0046,-0.0030916666666666683,0.85009765625
tlags_tlag_12_irr_maincrops,12,-0.0077,-0.023325,0.43408203125
tlags_tlag_12_rainf_maincrops,12,-0.008799999999999999,-0.016133333333333333,0.12939453125
tlags_tlag1_dr_moder_gs,12,-0.012,-0.018425,0.10986328125
tlags_tlag_12_harvarea_maincrops,12,-0.01365,-0.03278333333333333,0.05224609375
tlags_tlag_12_crop_sum,12,-0.01205,-0.027950000000000003,0.0771484375
tlags_tlag1_dr_sev_gs,12,-0.00555,-0.0052,0.33935546875
tlags_tlag1_spei1_gsm,12,-0.00435,-0.017416666666666667,0.33935546875
baseline,12,-0.00345,-0.009066666666666667,0.20361328125
