baseline_17climate_food,tlags_17climate_food,tlags_count_moder_drought_prev10,tlags_cropprop,tlags_growseasdummy,tlags_pred_growseasdummys,tlags_tlag1_dr_mod_gs__pred_growseasdummy,tlags_spei1_gs_prev10,tlags_spei1_gs_prev10_anom,tlags_spei1_gsm_cv_anom,tlags_spei1_gsm_detrend,tlags_spei1gsy_lowermedian_count,tlags_spei_48_detrend,tlags_tlag1_dr_mod_gs,tlags_tlag_12_irr_maincrops,tlags_tlag_12_rainf_maincrops,tlags_tlag1_dr_moder_gs,tlags_tlag_12_harvarea_maincrops,tlags_tlag_12_crop_sum,tlags_tlag1_dr_sev_gs,tlags_tlag1_spei1_gsm,baseline
25.3263,25.3381,25.3267,25.3121,25.3304,25.3089,25.3037,25.3137,25.313,25.3157,25.3256,25.3297,25.3289,25.2985,25.3272,25.3311,25.3153,25.3271,25.3225,25.3291,25.3065,25.3387
20.6971,20.6916,20.6611,20.6877,20.6112,20.5936,20.6229,20.6575,20.6721,20.6661,20.6629,20.6483,20.6842,20.6468,20.6464,20.6779,20.6353,20.675,20.6938,20.6405,20.604,20.6275
27.3962,27.3962,27.3573,27.3903,27.3688,27.3709,27.3661,27.3796,27.3839,27.3732,27.3841,27.3805,27.371,27.3487,27.3708,27.3721,27.3597,27.3769,27.3869,27.3636,27.3702,27.3625
8.9808,8.9289,8.9123,8.9005,8.8909,8.9083,8.8821,8.9203,8.902,8.8859,8.8989,8.9094,8.904,8.86,8.8996,8.8938,8.9056,8.9108,8.8901,8.8288,8.9298,8.882
7.734,7.707,7.6326,7.6553,7.5458,7.3763,7.375,7.6337,7.6866,7.5615,7.6492,7.6447,7.5093,7.4373,7.6414,7.4763,7.5237,7.6449,7.5789,7.4306,7.5488,7.433
9.6493,9.6367,9.6283,9.6325,9.637,9.6422,9.6313,9.6319,9.6366,9.6409,9.6287,9.6459,9.6388,9.6375,9.6266,9.6293,9.659,9.6275,9.6401,9.6405,9.6414,9.6336
4.906,4.8955,4.8547,4.8724,4.926,4.9105,4.8935,4.8977,4.8963,4.8954,4.8988,4.86,4.8957,4.9025,4.873,4.8865,4.9093,4.8889,4.8921,4.9201,4.9031,4.9275
7.4551,7.4494,7.4361,7.4232,7.418,7.4307,7.4442,7.4471,7.4429,7.4438,7.4363,7.428,7.4581,7.4472,7.435,7.4558,7.4316,7.4491,7.4528,7.4461,7.4162,7.4533
8.4967,8.4253,8.4043,8.4221,8.4206,8.4163,8.406,8.4031,8.4149,8.4164,8.4196,8.4172,8.4261,8.4134,8.4167,8.411,8.4052,8.4225,8.4215,8.4192,8.418,8.3897
11.8623,11.8169,11.8332,11.8097,11.8201,11.8256,11.8162,11.8374,11.8282,11.8423,11.8229,11.82,11.8287,11.8309,11.8329,11.8315,11.8304,11.8343,11.8315,11.8168,11.8182,11.8257
7.6462,7.6016,7.5999,7.6003,7.5893,7.6175,7.6129,7.5875,7.5978,7.5827,7.5985,7.5577,7.6089,7.6025,7.5993,7.6053,7.6118,7.6105,7.6001,7.6052,7.6021,7.6144
6.3506,6.3036,6.2848,6.2838,6.2966,6.2962,6.3096,6.2804,6.2938,6.2632,6.294,6.2921,6.2871,6.2753,6.2745,6.2865,6.2977,6.2894,6.2886,6.2854,6.3142,6.2844
